name,nationality,dob,highest_rank,highest_rank_year,handed,turned_pro,fav_surface,last10_win,rank,points,rank_2023,win_loss_2023,win_loss_clay_2023,win_loss_hardcourt_2023,win_loss_indoor_2023,win_loss_grass_2023,win_loss_other_2023,rank_2022,win_loss_2022,win_loss_clay_2022,win_loss_hardcourt_2022,win_loss_indoor_2022,win_loss_grass_2022,win_loss_other_2022,rank_2021,win_loss_2021,win_loss_clay_2021,win_loss_hardcourt_2021,win_loss_indoor_2021,win_loss_grass_2021,win_loss_other_2021,rank_2020,win_loss_2020,win_loss_clay_2020,win_loss_hardcourt_2020,win_loss_indoor_2020,win_loss_grass_2020,win_loss_other_2020,rank_2019,win_loss_2019,win_loss_clay_2019,win_loss_hardcourt_2019,win_loss_indoor_2019,win_loss_grass_2019,win_loss_other_2019,rank_2018,win_loss_2018,win_loss_clay_2018,win_loss_hardcourt_2018,win_loss_indoor_2018,win_loss_grass_2018,win_loss_other_2018,total_win_loss,total_win_loss_clay,total_win_loss_hardcourt,total_win_loss_indoor,total_win_loss_grass,total_win_loss_other
"Goldenberg, Dustin",USA,1990-09-27,,,,,,10%,-,-,,,,,,,,,,,,,,,2021,-,0/5,-,-,-,,,,,,,,,2019,-,2/7,0/1,-,0/1,,2018,3/4,10/23,-,-,-,,4/19,19/45,0/1,0/0,0/1,
"Valdes, Rianna",USA,1996-09-03,498,.2015,Right,,,50%,-,920,,,,,,,,,,,,,,,-,1/1,-,1/1,-,-,,-,0/1,-,0/1,-,-,,-,10/5,-,10/5,-,-,,,,,,,,,34/31,12/11,22/20,0/0,0/0,
"Patzanovsky, Christopher",Germany,1997-12-24,1712,8.2019,Right,,Hard,30%,-,-,-,0/1,0/1,-,-,-,,-,3/7,2/5,1/2,-,-,,-,10/14,7/10,2/2,1/2,-,,1915,9/8,6/5,2/2,1/1,-,,1856,16/15,11/8,2/4,3/3,-,,-,2/1,2/1,-,-,-,,43/49,31/33,7/10,5/6,0/0,
"Zhang, Linghao",China,2003-02-17,,,,,,50%,-,-,-,4/4,1/2,3/2,-,-,,-,11/16,10/10,1/6,-,-,,1876,14/16,0/1,14/15,-,-,,,,,,,,,,,,,,,,-,1/1,-,1/1,-,-,,30/37,11/13,19/24,0/0,0/0,
"Vilas, Andanin",Argentina,2003-11-15,,,,,,17%,-,-,2023,1/3,-,-,-,,,2022,0/1,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,2018,0/1,-,-,-,,,1/5,0/0,0/0,0/0,,
"Popovic, Ivana",Australia,2000-09-19,354,.2020,Right,,Hard,30%,-,-,,,,,,,,-,0/3,-,0/3,-,-,-,428,5/9,2/2,3/6,0/1,-,-,362,8/10,-,6/6,1/2,1/1,0/1,455,28/22,14/10,11/11,-,3/1,-,756,12/13,2/2,7/10,-,3/1,-,70/70,25/20,36/42,1/3,8/4,0/1
"Cherlet de San Juan, Kamiel Francesco",Belgium,1998-04-21,,,,,,0%,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,-,0/1,-,-,,,,,,,,,,0/0,0/1,0/0,0/0,,
"Figueroa Teusa, Silvana",Colombia,2004-09-29,,,Right,,,13%,-,-,,,,,,,,2022,0/4,0/2,-,-,,,2021,0/1,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,0/5,0/2,0/0,0/0,,
"Garmendia Olasagasti, Inigo",Spain,1998-03-30,,,,,,20%,-,-,,,,,,,,,,,,,,,2021,4/12,1/6,-,-,,,2020,0/2,0/1,-,-,,,2019,1/2,-,-,-,,,2018,0/3,-,-,-,,,5/19,1/7,0/0,0/0,,
"Nguyen, Huu Hung Anh",Vietnam,2004-12-20,,,,,,0%,-,-,,,,,,,,2022,-,0/2,-,-,,,,,,,,,,,,,,,,,2019,-,0/1,-,-,,,,,,,,,,0/0,0/3,0/0,0/0,,
"Tirunelveli, Teja",USA,2004-10-22,,,,,,40%,1183,737,-,7/9,4/4,3/5,-,-,,1179,9/19,5/11,4/8,-,-,,-,4/6,2/3,2/3,-,-,,,,,,,,,,,,,,,,,,,,,,,20/34,11/18,9/16,0/0,0/0,
"Dynka, Tom",Canada,1992-08-12,,,,,,10%,-,-,,,,,,,,2022,0/3,1/9,-,-,,,2021,-,0/6,1/1,-,,,2020,-,0/2,-,-,,,,,,,,,,2018,-,-,0/1,-,,,2/13,1/21,2/6,0/0,,
"Knani, Omar",Tunisia,2005-01-17,,,,,,40%,-,-,2023,-,2/4,-,-,,,2022,-,6/12,-,-,,,2021,-,0/4,-,-,,,,,,,,,,,,,,,,,,,,,,,,0/0,8/20,0/0,0/0,,
"Caballero Chica, Raquel",Spain,2005-01-22,,,,,,20%,-,-,2023,1/2,1/3,-,-,,,2022,2/4,1/2,-,-,,,2021,-,2/4,-,-,,,,,,,,,,,,,,,,,,,,,,,,3/6,4/9,0/0,0/0,,
"Alcott, Dylan",Australia,,,,,,,90%,-,-,,,,,,,,2022,-,2/1,-,-,-,,2021,2/0,6/0,-,2/0,-,,2020,2/0,7/1,-,-,-,,2019,2/0,6/1,-,2/0,-,,2018,-,4/0,-,-,3/1,,6/0,27/4,0/0,4/0,7/1,
"Recci, Mason",Great Britain,1997-01-23,1266,1.2019,Right,,Grass,40%,-,2209,-,0/1,-,0/1,-,-,-,-,9/10,0/1,6/7,-,-,3/2,1591,13/16,1/2,8/3,-,-,4/11,1371,1/2,-,-,-,-,1/2,1342,14/10,3/4,11/6,-,-,-,1571,25/15,8/6,13/6,4/3,-,-,94/79,16/18,59/38,11/8,0/0,8/15
"Svendsen, Johanne Christine",Denmark,2004-05-15,,,Right,,,30%,425,716,-,16/13,1/1,5/4,10/5,0/1,0/2,526,18/12,5/3,5/3,7/3,-,1/3,1180,7/1,7/1,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,41/26,13/5,10/7,17/8,0/1,1/5
"Tonnicchi, Filippo",Italy,2003-05-01,,,,,,50%,-,-,,,,,,,,2022,3/2,2/3,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/2,2/3,0/0,0/0,,
"Turco, Andrea",Italy,1996-04-17,,,,,,40%,-,-,,,,,,,,,,,,,,,2021,1/1,-,-,-,,,,,,,,,,2019,4/3,0/2,-,-,,,2018,2/3,-,-,-,,,20/24,0/3,0/1,0/0,,
"Simunyu, Celine",Ireland,2004-07-23,,,,,,60%,1097,736,-,18/12,17/9,-,-,-,1/3,1216,15/11,13/7,0/3,-,-,2/1,-,10/5,6/4,-,-,-,4/1,-,1/2,1/2,-,-,-,-,,,,,,,,,,,,,,,44/30,37/22,0/3,0/0,0/0,7/5
"Panfilov, Lara",Netherlands,2000-08-10,1156,3.2020,Right,,,60%,-,-,,,,,,,,,,,,,,,,,,,,,,1196,5/2,5/2,-,-,-,,1218,20/17,6/11,14/6,-,-,,-,7/8,4/5,3/3,-,-,,44/37,27/28,17/9,0/0,0/0,
"Koevermans, Anouk",Netherlands,2004-01-02,685,.2022,Right,,Clay,70%,815,847,-,12/7,8/4,4/3,-,-,,747,28/16,18/10,10/6,-,-,,1048,16/13,4/7,12/6,-,-,,1328,1/3,1/3,-,-,-,,-,6/6,6/6,-,-,-,,-,0/1,0/1,-,-,-,,63/46,37/31,26/15,0/0,0/0,
"Miklova, Barbora",Czech Republic,1998-03-29,551,.2019,Right,,Hard,20%,-,-,,,,,,,,,,,,,,,796,3/11,2/7,1/3,0/1,-,-,623,1/9,1/5,-,0/3,-,0/1,592,27/24,23/19,2/3,2/2,-,-,-,30/23,9/9,18/12,3/2,-,-,132/132,85/84,36/34,11/13,0/0,0/1
"de Minaur, Alex",Australia,1999-02-17,15,2021,Right,2015,Grass,40%,18,199,-,15/9,3/4,9/3,3/2,-,-,24,47/26,9/6,17/11,7/4,7/4,7/1,34,25/25,4/5,10/10,2/6,8/3,1/1,23,15/10,0/2,6/5,7/3,-,2/0,18,41/20,1/4,24/10,10/3,2/3,4/0,31,50/30,9/7,23/12,5/4,13/4,0/3,293/172,54/43,136/72,51/33,38/19,14/5
"Degelow, Theodora",Germany,2004-03-11,,,,,,10%,-,-,2023,-,1/8,-,-,,,2022,0/2,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/2,1/8,0/0,0/0,,
"Cannoni Miranda, Macarena",Chile,2003-10-06,,,,,,33%,-,-,,,,,,,,,,,,,,,2021,1/1,-,-,-,,,,,,,,,,2019,0/1,-,-,-,,,,,,,,,,1/2,0/0,0/0,0/0,,
"Feig, Ari",USA,2004-07-03,,,,,,0%,-,-,2023,-,0/3,-,-,,,2022,-,0/6,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/0,0/9,0/0,0/0,,
"Tricerri, Shuannon",Australia,2003-02-01,,,Right,,Hard,50%,-,2088,2023,-,4/3,-,-,,,2022,3/2,16/19,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/2,20/22,0/0,0/0,,
"Ossa, Mariana",USA,2002-05-15,,,Right,,Hard,33%,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,-,0/1,-,-,,,2018,1/1,-,-,-,,,1/1,0/1,0/0,0/0,,
"Mugevicius, Lukas",Lithuania,1994-12-07,390,.2017,Right,,,40%,-,-,,,,,,,,,,,,,,,1767,1/1,-,1/1,-,-,-,-,4/5,-,4/5,-,-,-,,,,,,,,1960,9/9,7/5,0/2,2/2,-,-,124/114,68/51,43/46,10/12,0/0,3/5
"Arcuschin, Romeo",Argentina,2007-05-06,,,,,,0%,-,-,2023,0/3,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/3,0/0,0/0,0/0,,
"Joncour, Ronan",France,1997-01-27,574,.2019,Left,,Clay,40%,1609,1331,,,,,,,,1457,11/14,3/5,8/8,0/1,-,-,939,18/18,6/8,12/8,0/2,-,-,688,4/10,-,0/1,1/4,-,3/5,671,25/22,2/3,10/8,13/11,-,-,749,28/12,3/3,13/4,12/5,-,-,173/172,48/59,79/60,43/48,0/0,3/5
"Castillo, Kayleigh",Germany,2004-12-01,,,,,,0%,-,-,,,,,,,,,,,,,,,2021,0/1,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,0/1,0/0,0/0,0/0,,
"Rai, Ajeet",New Zealand,1999-01-18,417,.2023,Right,,,30%,435,296,-,11/13,4/2,2/7,-,5/2,0/2,469,38/25,-,38/23,-,-,0/2,837,22/19,-,22/19,-,-,-,949,10/6,-,10/5,-,-,0/1,1059,13/16,3/2,9/11,-,0/2,1/1,695,30/12,7/4,23/8,-,-,-,124/91,14/8,104/73,0/0,5/4,1/6
"Cohen, Zury",Israel,2005-03-22,,,,,,10%,-,2295,,,,,,,,2022,-,0/8,-,-,,,2021,-,1/2,-,-,,,,,,,,,,,,,,,,,,,,,,,,0/0,1/10,0/0,0/0,,
"Gregoriou, George",Greece,1993-04-25,,,Right,,Hard,30%,-,-,2023,-,3/6,-,-,,,2022,0/6,3/15,-,-,,,2021,0/3,2/5,-,-,,,2020,-,0/1,-,-,,,2019,0/2,0/2,-,-,,,2018,-,0/1,-,-,,,0/11,8/30,0/0,0/0,,
"Laursen, Karoline",Denmark,2000-07-03,,,,,,50%,-,-,,,,,,,,2022,-,1/1,-,-,,,2021,1/2,-,1/1,-,,,,,,,,,,2019,4/2,-,-,-,,,,,,,,,,5/4,1/1,1/1,0/0,,
"Shalamanova, Daria",Bulgaria,2002-12-03,,,,,,40%,773,1214,-,1/3,1/2,0/1,-,-,,752,34/21,28/17,6/4,-,-,,1319,20/14,20/11,0/3,-,-,,-,4/3,4/3,-,-,-,,,,,,,,,-,0/1,0/1,-,-,-,,60/45,54/36,6/9,0/0,0/0,
"Esquici, Lorenzo",Brazil,2003-07-08,,,Right,,Hard,50%,1064,945,-,1/1,1/1,-,-,-,,1053,21/15,11/9,10/6,-,-,,-,2/2,2/1,0/1,-,-,,,,,,,,,,,,,,,,,,,,,,,24/18,14/11,10/7,0/0,0/0,
"Onitoiu, Andreea-Mihwela",Romania,2004-09-21,,,Right,,,17%,-,-,,,,,,,,2022,1/4,-,-,-,,,2021,0/1,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,1/5,0/0,0/0,0/0,,
"Favero, Lorenzo",Italy,2001-05-24,,,,,,30%,-,-,-,1/2,-,1/2,-,-,,1650,8/8,8/8,-,-,-,,-,2/10,0/3,2/5,0/1,0/1,,,,,,,,,,,,,,,,-,0/2,0/2,-,-,-,,11/22,8/13,3/7,0/1,0/1,
"Matuszewski, Gabriel",Poland,2004-04-10,,,,,,30%,1884,1706,-,2/4,1/3,-,1/1,-,-,1870,8/10,3/4,4/4,1/2,-,-,-,0/1,0/1,-,-,-,-,-,1/0,-,-,-,-,1/0,,,,,,,,,,,,,,,11/15,4/8,4/4,2/3,0/0,1/0
"Passaro, Francesco",Italy,2001-01-07,108,.2023,Right,,Clay,40%,126,307,-,13/17,5/7,8/10,-,-,-,119,49/28,35/18,12/6,2/4,-,-,605,43/27,39/22,4/5,-,-,-,980,9/6,9/5,-,-,-,0/1,1095,5/8,5/6,0/2,-,-,-,,,,,,,,120/90,94/62,24/23,2/4,0/0,0/1
"Miklavcic, Luka",Slovenia,1999-09-29,,,,,,50%,1884,-,-,5/5,5/5,-,-,-,,1814,13/10,13/10,-,-,-,,-,5/7,5/7,-,-,-,,,,,,,,,-,3/4,3/4,-,-,-,,-,5/6,5/5,0/1,-,-,,32/34,32/33,0/1,0/0,0/0,
"Kashyrina, Anna",Ukraine,2004-06-09,,,Right,,Hard,11%,-,-,2023,-,0/3,-,-,,,2022,-,0/5,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/0,0/8,0/0,0/0,,
"Dvalishvili, Liana",Neutral,2003-01-06,,,,,,20%,-,-,2023,-,0/2,-,-,,,2022,0/2,2/3,-,-,,,2021,1/1,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,1/3,2/5,0/0,0/0,,
"Del Castillo, Pol",Spain,2003-04-28,,,Right,,Clay,60%,1650,-,,,,,,,,1650,6/4,3/3,3/1,-,-,,-,0/1,0/1,-,-,-,,-,0/1,-,0/1,-,-,,,,,,,,,,,,,,,,6/6,3/4,3/2,0/0,0/0,
"Newborn, Rhiann",USA,1994-06-22,688,.2019,Right,,Hard,20%,836,852,-,2/7,1/4,1/3,-,-,-,838,9/15,4/4,5/11,-,-,-,1283,2/4,1/2,1/2,-,-,-,1244,3/8,-,0/1,-,-,3/7,1208,7/13,2/6,5/7,-,-,-,697,11/11,0/4,11/7,-,-,-,43/73,8/23,32/42,0/1,0/0,3/7
"Kozakova, Karolina",Switzerland,2005-04-12,,,Right,,,40%,-,-,2023,5/9,-,0/1,-,,,2022,3/4,-,3/2,-,,,2021,1/3,-,-,-,,,,,,,,,,2019,0/1,-,-,-,,,,,,,,,,9/17,0/0,3/3,0/0,,
"Gupta, Koonwar",India,1996-02-18,,,,,,10%,-,-,,,,,,,,2022,-,0/1,-,-,,,2021,-,0/2,-,-,,,,,,,,,,2019,1/8,1/3,-,-,,,2018,2/5,0/3,-,-,,,4/14,3/24,0/0,0/0,,
"Rothacker, Katharina",Germany,1998-09-17,,,,,,30%,-,-,2023,3/4,-,-,-,,,2022,1/4,3/7,-,-,,,2021,0/4,-,-,-,,,,,,,,,,2019,-,0/2,-,-,,,,,,,,,,4/12,3/9,0/0,0/0,,
"Marmousez, Lilian",France,2002-01-03,662,.2023,,,,50%,662,1005,-,18/9,7/6,10/2,1/1,-,,852,15/17,11/12,1/2,3/3,-,,711,25/18,8/7,15/9,2/2,-,,1377,2/3,2/3,-,-,-,,1856,1/5,1/1,0/2,0/2,-,,-,6/5,4/3,-,2/2,-,,67/58,33/32,26/15,8/11,0/0,
"Pinto, Giorgia",Italy,1992-02-24,696,.2015,Left,,Clay,30%,903,765,-,3/4,3/2,0/2,-,-,,867,18/22,18/22,-,-,-,,879,26/19,23/15,3/4,-,-,,,,,,,,,1218,9/11,6/8,3/3,-,-,,-,12/14,8/6,4/7,0/1,-,,134/157,75/88,57/66,2/3,0/0,
"Hourigan, Paige Mary",New Zealand,1997-02-03,393,.2021,Right,,Clay,40%,1062,542,-,3/4,-,1/2,-,2/2,-,875,6/9,0/1,6/5,-,-,0/3,442,22/8,2/1,20/7,-,-,-,434,15/7,-,5/6,-,-,10/1,439,30/22,-,28/21,-,-,2/1,545,22/8,-,22/8,-,-,-,119/71,2/3,101/60,0/0,2/2,14/6
"Mihaila, Ana Bianca",Romania,1996-10-05,518,.2016,Right,,Hard,60%,-,-,,,,,,,,,,,,,,,,,,,,,,1049,2/3,2/3,-,-,-,,1007,20/8,7/3,13/5,-,-,,-,2/3,0/1,2/2,-,-,,114/95,40/49,74/45,0/1,0/0,
"Broady, Naomi",Great Britain,1990-02-28,76,2016,Right,2006,,40%,-,-,,,,,,,,,,,,,,,736,4/5,-,4/4,-,0/1,-,515,2/9,-,0/1,-,-,2/8,467,14/24,-,7/14,5/7,2/3,-,250,18/26,-,17/18,1/5,0/3,-,213/229,6/11,127/118,54/52,23/37,3/11
"Griffioen, Jiske",Netherlands,,,,,,,60%,-,-,2023,-,2/1,-,-,,,2022,1/1,2/2,-,1/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/2,6/4,0/0,1/2,,
"Munteanu, Dan Radu",Romania,2001-03-29,,,Right,,Hard,30%,-,2209,2023,2/4,-,-,-,,,2022,4/12,0/1,-,-,,,2021,4/7,2/2,-,-,,,2020,0/2,-,-,-,,,,,,,,,,2018,0/6,-,-,-,,,11/34,2/3,0/0,0/0,,
"Huber, Joseph",Austria,1983-07-09,,,Right,,Clay,40%,-,-,,,,,,,,2022,1/1,-,-,-,,,,,,,,,,,,,,,,,2019,1/2,-,-,-,,,,,,,,,,4/7,0/0,0/0,0/0,,
"Lam, Ching","Hong Kong, China",1999-09-03,1492,2.2017,Right,1999,Hard,20%,-,-,,,,,,,,,,,,,,,,,,,,,,-,2/2,-,2/1,-,-,0/1,-,0/1,-,0/1,-,-,-,-,0/4,-,0/4,-,-,-,6/17,0/0,6/16,0/0,0/0,0/1
"Oyegoke, Abiodun",Nigeria,1986-12-25,986,.2003,,,,0%,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,-,0/2,-,-,,,2018,-,0/2,-,-,,,0/0,0/4,0/0,0/0,,
"Monnot , Amandine",France,2002-02-06,,,,,,40%,650,1514,-,9/9,1/1,2/2,6/6,-,,832,15/19,5/4,3/4,7/11,-,,1078,22/19,8/8,7/6,7/5,-,,-,0/2,0/2,-,-,-,,-,6/6,1/2,2/2,3/2,-,,-,1/1,-,1/1,-,-,,53/56,15/17,15/15,23/24,0/0,
"Narwal, Hitakamya Singh",India,2005-02-21,,,Left,,Clay,0%,-,-,,,,,,,,2022,-,0/3,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/0,0/3,0/0,0/0,,
"Zhao, Carol",Canada,1995-06-20,131,.2018,Right,2016,,50%,180,1477,-,9/13,2/5,7/8,-,-,-,176,32/25,10/5,19/19,3/1,-,-,290,24/19,13/8,11/10,-,-,0/1,,,,,,,,526,12/10,-,12/10,-,-,-,299,10/25,2/5,6/14,2/2,0/3,0/1,195/175,56/37,124/118,15/15,0/3,0/2
"Gaemperle, Martina",Switzerland,1990-09-08,,,Right,,,10%,-,-,,,,,,,,2022,0/4,-,-,-,,,2021,0/3,-,-,-,,,,,,,,,,2019,0/1,-,-,-,,,2018,0/2,-,0/1,-,,,2/19,0/0,0/4,0/0,,
"Cambria, Fabrizia",Italy,2004-06-20,,,,,,50%,-,-,,,,,,,,,,,,,,,2021,-,1/2,-,-,,,,,,,,,,2019,-,2/1,-,-,,,,,,,,,,0/0,3/3,0/0,0/0,,
"Albayrak, Elif",Turkiye,2004-08-18,,,Right,,,22%,-,-,,,,,,,,2022,0/1,-,-,-,,,2021,1/3,1/2,0/1,-,,,,,,,,,,,,,,,,,,,,,,,,1/4,1/2,0/1,0/0,,
"Zhao, Elena",USA,2008-01-30,,,,,,25%,-,-,,,,,,,,2022,-,1/3,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/0,1/3,0/0,0/0,,
"Schinteie, Gheorghe Claudiu",Romania,2002-03-13,,,Right,,Clay,50%,-,1636,2023,9/7,-,-,-,,,2022,32/23,-,-,-,,,2021,12/10,-,-,-,,,2020,0/1,-,-,-,,,,,,,,,,,,,,,,,53/41,0/0,0/0,0/0,,
"Bauddh, Anupriya",India,2001-12-20,,,Right,,Hard,0%,-,-,,,,,,,,2022,0/1,0/1,-,-,,,2021,-,0/1,-,-,,,,,,,,,,,,,,,,,,,,,,,,0/1,0/2,0/0,0/0,,
"Sorensen, Thomas",Canada,2001-03-04,,,Right,,,10%,-,-,,,,,,,,2022,0/4,2/7,-,-,,,,,,,,,,2020,-,0/1,-,-,,,,,,,,,,2018,-,0/2,-,-,,,0/4,2/10,0/0,0/0,,
"Netuschil, Marvin",Germany,1991-07-02,306,.2017,Right,,Clay,60%,1338,-,-,1/1,1/1,-,-,-,-,1316,8/8,8/8,-,-,-,-,779,9/12,9/11,-,0/1,-,-,571,19/9,0/1,-,1/1,-,18/7,534,38/25,38/23,-,0/2,-,-,527,30/15,30/14,-,0/1,-,-,255/150,199/102,12/13,26/28,0/0,18/7
"Verdu Azorin, Carla",Spain,2006-01-19,,,,,,50%,-,-,,,,,,,,2022,2/2,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/2,0/0,0/0,0/0,,
"Langmajer, Dominik",Czech Republic,1999-08-21,1411,8.2022,Right,,Carpet indoor,20%,-,-,,,,,,,,1517,5/10,-,2/3,3/7,-,,-,2/17,0/6,1/5,1/5,0/1,,1915,2/12,-,2/9,0/3,-,,1821,3/10,3/4,0/1,0/5,-,,-,3/21,1/9,1/3,1/9,-,,22/88,8/29,6/21,8/37,0/1,
"Boudjadi, Yassamine",Algeria,1996-09-05,,,,,,40%,-,-,,,,,,,,2022,4/5,1/3,-,-,-,,2021,-,1/4,-,-,1/0,,,,,,,,,2019,1/2,-,-,-,2/2,,2018,2/3,0/3,-,-,3/0,,8/16,2/11,0/0,0/0,6/2,
"Sun, Ziyue",China,1996-07-06,337,.2020,,,,50%,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,36/22,2/3,34/19,-,-,,650,28/25,8/4,20/21,-,-,,92/71,10/7,79/63,3/1,0/0,
"Sanchis Melero, Higinio",Spain,2001-07-04,,,,,,20%,-,-,,,,,,,,2022,2/4,-,-,-,,,2021,0/9,-,-,-,,,,,,,,,,,,,,,,,2018,0/1,-,-,-,,,2/14,0/0,0/0,0/0,,
"Varillas, Rodrigo",Peru,,,,,,,0%,-,-,,,,,,,,2022,0/1,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/1,0/0,0/0,0/0,,
"Savic, Natasa",Serbia,2003-03-13,,,,,,0%,-,-,,,,,,,,2022,0/1,-,-,-,,,2021,0/1,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,0/2,0/0,0/0,0/0,,
"Palecek, Nikol",Serbia,2003-11-15,,,,,,50%,-,1423,-,5/6,5/4,0/2,-,-,,-,12/17,7/8,5/9,-,-,,1339,18/19,8/8,10/11,-,-,,-,4/4,-,4/4,-,-,,,,,,,,,,,,,,,,39/46,20/20,19/26,0/0,0/0,
"Dahiya, Jatin",India,1992-09-29,1077,0.2019,,,,20%,-,-,,,,,,,,-,1/1,-,1/1,-,-,,-,1/6,-,1/6,-,-,,1399,0/1,0/1,-,-,-,,1368,3/7,-,3/7,-,-,,1217,18/16,2/3,16/13,-,-,,66/102,6/18,60/84,0/0,0/0,
"Weightman, Oscar",Great Britain,2001-11-19,603,.2022,,,,30%,921,959,-,3/5,-,0/3,-,-,3/2,661,35/33,-,24/14,5/4,2/4,4/11,1228,25/32,0/3,10/6,6/3,-,9/20,1270,17/16,2/2,15/12,0/2,-,-,,,,,,,,1843,4/7,-,1/1,2/4,1/2,-,84/93,2/5,50/36,13/13,3/6,16/33
"Bornay, Jade",France,2002-02-09,870,.2022,Right,,Hard,50%,1003,855,-,7/10,2/3,5/7,-,-,,870,23/19,9/9,11/7,3/3,-,,1082,25/18,-,23/16,2/2,-,,-,1/3,-,1/2,0/1,-,,,,,,,,,-,1/1,-,1/1,-,-,,57/51,11/12,41/33,5/6,0/0,
"Vuradin, Lucas",Australia,1999-01-26,839,.2018,Right,,Hard,50%,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1103,15/13,2/2,11/9,-,2/2,,841,21/16,3/2,13/12,-,5/2,,77/57,23/16,43/36,0/0,11/5,
"Cardenas Rifka, Romary",Mexico,2002-03-21,,,,,,20%,-,-,,,,,,,,,,,,,,,,,,,,,,2020,-,1/4,-,-,,,2019,-,2/5,-,-,,,2018,-,1/1,-,-,,,0/0,5/11,0/0,0/0,,
"Tsivadze, George",Georgia,1993-01-02,733,.2015,Left,,,30%,1413,1630,-,1/4,-,0/2,1/2,-,-,1399,10/9,0/1,10/8,-,-,-,1079,2/9,0/2,2/7,-,-,-,885,1/3,-,1/1,0/2,-,-,878,23/20,15/9,8/10,-,-,0/1,1081,24/17,13/10,11/5,-,-,0/2,147/154,72/64,65/70,7/12,0/0,3/8
"Lofman, Aleksi",Finland,2002-02-21,,,,,,40%,912,1361,-,9/9,-,9/9,-,-,,920,26/24,3/2,23/21,0/1,-,,1876,4/6,0/1,4/5,-,-,,,,,,,,,-,0/4,0/1,-,0/3,-,,-,0/4,0/3,-,0/1,-,,40/48,3/7,36/35,1/6,0/0,
"Kopp, Sandro",Austria,2000-05-26,453,.2022,,,,40%,469,369,-,9/10,2/4,-,7/6,-,-,453,54/26,32/16,4/4,18/6,-,-,787,33/24,30/16,3/6,0/2,-,-,808,21/19,7/8,-,1/3,-,13/8,811,19/15,16/11,2/2,1/2,-,-,1446,21/19,17/16,1/2,3/1,-,-,175/133,119/88,12/16,31/21,0/0,13/8
"Karpovich, Yana",Neutral,1996-02-05,716,.2022,Right,,Clay,40%,897,833,,,,,,,,829,26/28,24/25,2/3,-,-,,1032,8/7,8/6,-,0/1,-,,956,1/1,-,-,1/1,-,,924,28/13,13/6,15/6,0/1,-,,,,,,,,,68/55,45/38,17/10,6/7,0/0,
"Fondriest, Matteo",Italy,2004-09-10,,,,,,40%,1812,-,-,4/6,0/3,2/2,2/1,-,,1726,11/10,1/3,10/6,0/1,-,,-,0/1,-,-,0/1,-,,,,,,,,,,,,,,,,,,,,,,,15/17,1/6,12/8,2/3,0/0,
"Quayle, David",Great Britain,2000-06-04,1650,5.2023,Right,,Hard,50%,1650,1485,2023,-,0/3,4/3,-,7/3,,2022,0/1,3/7,0/6,0/2,0/1,,2021,-,4/8,-,-,4/7,,2020,-,1/3,2/4,-,-,,2019,0/4,3/3,0/2,-,-,,2018,1/2,4/3,1/3,-,-,,1/7,15/27,7/18,0/2,11/11,
"Zamarripa, Maribella",USA,2002-08-15,1218,0.2022,,,,50%,-,265,-,5/3,5/2,0/1,-,-,,-,3/6,0/1,3/5,-,-,,1585,3/4,1/3,2/1,-,-,,-,0/1,-,0/1,-,-,,-,7/7,2/2,5/5,-,-,,-,3/4,3/2,0/2,-,-,,21/25,11/10,10/15,0/0,0/0,
"Strode, Isaiah",USA,1997-09-15,725,.2022,Right,,Hard,20%,1040,1669,-,14/13,11/9,3/4,-,-,,1000,20/17,2/3,18/14,-,-,,860,11/6,-,11/6,-,-,,1080,1/3,-,1/3,-,-,,894,17/10,3/2,14/8,-,-,,1021,21/20,8/8,13/11,0/1,-,,167/139,66/52,100/84,1/3,0/0,
